TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202203260600,136.0,14.0,1.0,982.5,999.2,11.6,10.3,92.0,2.5,1901,0.0,8.0,StNs,289.0,11.1,-99.0,-99.0,-99.0,-99.0,4.0,15.0
202203260700,136.0,0.0,0.2,981.9,998.6,11.3,10.2,93.0,2.4,1901,0.0,8.0,StNs,162.0,11.1,-99.0,-99.0,-99.0,-99.0,4.0,10.0
202203260800,136.0,32.0,0.6,980.9,997.6,11.3,10.6,96.0,2.8,1901,0.0,8.0,StNs,282.0,11.3,-99.0,-99.0,-99.0,-99.0,4.0,6.0
202203260900,136.0,32.0,1.7,980.8,997.4,11.8,10.8,94.0,2.9,1901,0.0,8.0,ScAs,575.0,12.9,-99.0,-99.0,-99.0,-99.0,1.0,9.0
202203261000,136.0,32.0,1.2,980.2,996.7,12.7,11.9,95.0,3.9,1901,0.0,7.0,ScAs,743.0,14.3,-99.0,-99.0,-99.0,-99.0,4.0,13.0
202203261100,136.0,29.0,4.7,982.0,998.5,13.4,11.9,91.0,3.9,19,0.0,8.0,ScAs,1990.0,13.7,-99.0,-99.0,-99.0,-99.0,3.0,0.0
202203261200,136.0,29.0,4.8,981.6,998.0,14.6,10.4,76.0,2.6,-,9.0,5.0,ScAc,2000.0,17.5,-99.0,-99.0,-99.0,-99.0,3.0,0.0
202203261300,136.0,27.0,4.9,982.7,999.2,13.3,8.3,72.0,0.9,-,9.0,6.0,ScAc,2000.0,14.2,-99.0,-99.0,-99.0,-99.0,3.0,9.0
202203261400,136.0,27.0,3.7,983.8,1000.4,12.6,8.4,76.0,1.0,-,9.0,7.0,ScAc,2000.0,13.1,-99.0,-99.0,-99.0,-99.0,3.0,5.0
202203261500,136.0,29.0,5.1,985.2,1001.8,13.3,8.3,72.0,0.9,-,9.0,5.0,ScAc,2000.0,18.7,-99.0,-99.0,-99.0,-99.0,3.0,0.0
202203261600,136.0,29.0,3.4,986.9,1003.4,14.2,8.3,68.0,0.9,-,9.0,6.0,ScAc,2000.0,20.7,-99.0,-99.0,-99.0,-99.0,3.0,3.0
202203261700,136.0,29.0,3.7,987.9,1004.5,13.1,8.1,72.0,0.8,-,8.0,8.0,Sc,1998.0,16.1,-99.0,-99.0,-99.0,-99.0,3.0,5.0
202203261800,136.0,25.0,2.2,989.0,1005.7,12.1,7.9,76.0,0.6,-,9.0,9.0,Sc,2000.0,13.3,-99.0,-99.0,-99.0,-99.0,3.0,10.0
202203261900,136.0,27.0,1.3,990.7,1007.5,11.5,7.7,78.0,0.5,-,8.0,8.0,-,2000.0,11.1,-99.0,-99.0,-99.0,-99.0,3.0,9.0
202203262000,136.0,0.0,0.4,991.6,1008.5,11.0,7.6,80.0,0.4,-,8.0,5.0,-,1941.0,9.3,-99.0,-99.0,-99.0,-99.0,3.0,4.0
202203262100,136.0,32.0,0.7,992.8,1009.8,10.0,7.4,84.0,0.3,-,2.0,0.0,Ci,1659.0,7.6,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202203262200,136.0,0.0,0.2,993.1,1010.1,8.6,6.5,87.0,9.7,-,6.0,1.0,-,1259.0,6.9,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202203262300,136.0,25.0,1.2,993.8,1010.8,9.2,7.1,87.0,0.1,-,7.0,7.0,-,1234.0,6.8,-99.0,-99.0,-99.0,-99.0,3.0,14.0
202203270000,136.0,32.0,2.1,994.7,1011.7,9.1,7.0,87.0,0.0,19,8.0,0.0,Ci,879.0,7.3,-99.0,-99.0,-99.0,-99.0,3.0,17.0
202203270100,136.0,32.0,1.1,995.3,1012.3,8.8,6.9,88.0,9.9,19,0.0,9.0,-,843.0,7.1,-99.0,-99.0,-99.0,-99.0,3.0,17.0
202203270200,136.0,29.0,2.4,995.7,1012.7,9.3,5.6,78.0,9.1,19,0.0,9.0,-,1984.0,7.0,-99.0,-99.0,-99.0,-99.0,3.0,19.0
202203270300,136.0,29.0,2.9,996.0,1013.0,8.8,3.2,68.0,7.7,-,5.0,0.0,Ci,2000.0,6.5,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202203270400,136.0,32.0,2.8,996.3,1013.4,8.1,2.5,68.0,7.3,-,4.0,0.0,Ci,2000.0,5.5,-99.0,-99.0,-99.0,-99.0,3.0,23.0
202203270500,136.0,32.0,1.5,996.6,1013.8,6.8,2.6,75.0,7.4,-,2.0,0.0,Ci,2000.0,4.1,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202203270600,136.0,32.0,0.8,997.0,1014.3,6.3,2.1,75.0,7.1,-,2.0,0.0,Ci,1999.0,3.0,-99.0,-99.0,-99.0,-99.0,3.0,15.0
202203270700,136.0,0.0,0.3,997.8,1015.2,5.2,2.1,81.0,7.1,-,3.0,0.0,Ci,1806.0,3.0,-99.0,-99.0,-99.0,-99.0,3.0,28.0
202203270800,136.0,0.0,0.0,998.2,1015.5,6.3,3.4,82.0,7.8,-,6.0,0.0,Ci,1593.0,7.2,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202203270900,136.0,23.0,1.0,998.2,1015.3,8.2,2.2,66.0,7.2,-,2.0,0.0,Ci,1904.0,13.6,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202203271000,136.0,25.0,1.7,998.0,1015.0,10.6,1.6,54.0,6.9,-,4.0,0.0,Ci,1914.0,19.3,-99.0,-99.0,-99.0,-99.0,3.0,39.0
