TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,TE_005,TE_01,TE_02,TE_03,IR,PM10
202202220200,143.0,29.0,3.8,1021.9,1028.9,-1.5,-11.1,48.0,2.6,-,0.0,0.0,-,2000.0,-2.5,-99.0,-99.0,-99.0,-99.0,3.0,7.0
202202220300,143.0,29.0,4.5,1022.4,1029.4,-1.8,-10.3,52.0,2.8,-,0.0,0.0,-,2000.0,-3.0,-99.0,-99.0,-99.0,-99.0,3.0,11.0
202202220400,143.0,29.0,5.3,1022.3,1029.3,-1.9,-10.2,53.0,2.8,-,6.0,6.0,Sc,2000.0,-2.7,-99.0,-99.0,-99.0,-99.0,3.0,16.0
202202220500,143.0,32.0,4.1,1022.9,1029.9,-2.7,-9.8,58.0,2.9,05,5.0,5.0,Sc,2000.0,-3.0,-99.0,-99.0,-99.0,-99.0,4.0,8.0
202202220600,143.0,32.0,3.4,1023.6,1030.6,-3.1,-11.1,54.0,2.6,-,0.0,0.0,-,2000.0,-3.8,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202202220700,143.0,29.0,4.9,1024.2,1031.2,-3.3,-12.5,49.0,2.3,-,0.0,0.0,-,2000.0,-4.0,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202202220800,143.0,29.0,4.3,1024.7,1031.7,-2.8,-13.9,42.0,2.1,-,0.0,0.0,-,2000.0,-3.2,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202202220900,143.0,29.0,5.3,1025.7,1032.7,-2.3,-16.0,34.0,1.8,-,0.0,0.0,-,1985.0,-1.5,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202202221000,143.0,32.0,6.0,1025.5,1032.5,-1.3,-16.6,30.0,1.7,-,0.0,0.0,-,2000.0,3.9,-99.0,-99.0,-99.0,-99.0,3.0,17.0
202202221100,143.0,32.0,4.7,1025.2,1032.2,-0.3,-16.6,28.0,1.7,-,0.0,0.0,-,2000.0,9.3,-99.0,-99.0,-99.0,-99.0,3.0,13.0
202202221200,143.0,32.0,4.9,1024.6,1031.5,1.0,-15.9,27.0,1.8,-,0.0,0.0,-,2014.0,12.9,-99.0,-99.0,-99.0,-99.0,3.0,21.0
202202221300,143.0,32.0,5.1,1023.4,1030.3,1.7,-15.8,26.0,1.8,-,0.0,0.0,-,1996.0,15.3,-99.0,-99.0,-99.0,-99.0,3.0,22.0
202202221400,143.0,29.0,4.3,1022.4,1029.2,3.3,-14.4,26.0,2.0,-,3.0,0.0,Ci,2000.0,17.8,-99.0,-99.0,-99.0,-99.0,3.0,29.0
202202221500,143.0,29.0,5.4,1022.6,1029.5,2.9,-15.7,24.0,1.8,-,6.0,0.0,Ci,2000.0,14.5,-99.0,-99.0,-99.0,-99.0,3.0,40.0
202202221600,143.0,29.0,5.6,1022.1,1028.9,3.6,-14.6,25.0,2.0,-,6.0,0.0,Ci,2003.0,12.6,-99.0,-99.0,-99.0,-99.0,3.0,34.0
202202221700,143.0,32.0,4.4,1021.7,1028.6,2.6,-14.5,27.0,2.0,-,3.0,0.0,Ci,2000.0,7.2,-99.0,-99.0,-99.0,-99.0,3.0,39.0
202202221800,143.0,32.0,3.7,1021.8,1028.7,1.8,-14.8,28.0,1.9,-,1.0,0.0,Ci,2000.0,2.6,-99.0,-99.0,-99.0,-99.0,3.0,36.0
202202221900,143.0,32.0,4.3,1022.1,1029.0,1.3,-14.0,31.0,2.1,-,3.0,0.0,-,2000.0,0.7,-99.0,-99.0,-99.0,-99.0,3.0,28.0
202202222000,143.0,29.0,4.1,1022.6,1029.5,0.8,-13.3,34.0,2.2,-,0.0,0.0,-,2000.0,-0.2,-99.0,-99.0,-99.0,-99.0,3.0,26.0
202202222100,143.0,29.0,3.8,1022.6,1029.5,0.2,-12.8,37.0,2.3,-,1.0,0.0,Ci,2000.0,-0.9,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202202222200,143.0,29.0,3.9,1023.2,1030.1,-0.3,-11.6,42.0,2.5,-,5.0,0.0,-,2000.0,-1.4,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202202222300,143.0,29.0,3.3,1023.8,1030.8,-0.7,-10.1,49.0,2.8,-,8.0,4.0,-,2000.0,-1.4,-99.0,-99.0,-99.0,-99.0,3.0,20.0
202202230000,143.0,32.0,3.5,1024.3,1031.3,-1.7,-10.2,52.0,2.8,-,7.0,0.0,Ci,2000.0,-1.9,-99.0,-99.0,-99.0,-99.0,3.0,18.0
202202230100,143.0,32.0,4.0,1024.3,1031.3,-2.3,-11.0,51.0,2.6,-,9.0,2.0,-,2000.0,-2.1,-99.0,-99.0,-99.0,-99.0,3.0,26.0
202202230200,143.0,32.0,3.6,1024.7,1031.7,-2.7,-11.2,52.0,2.6,-,10.0,5.0,-,2000.0,-2.1,-99.0,-99.0,-99.0,-99.0,3.0,25.0
202202230300,143.0,32.0,3.4,1024.6,1031.6,-3.1,-11.8,51.0,2.5,-,9.0,0.0,Ci,2000.0,-2.4,-99.0,-99.0,-99.0,-99.0,3.0,10.0
202202230400,143.0,32.0,3.3,1025.0,1032.1,-3.9,-10.5,60.0,2.8,-,9.0,0.0,Ci,2000.0,-2.8,-99.0,-99.0,-99.0,-99.0,3.0,17.0
