TM,PM10_yanan,PM10_qingdao,PM10_chifeng,PM10_dalian
201802180000,111.0,16.0,62.0,26.0
201802180300,45.0,13.0,68.0,39.0
201802180600,47.0,14.0,59.0,41.0
201802180900,45.0,17.0,42.0,36.0
201802181200,52.0,40.0,26.0,30.0
201802181500,4.0,19.0,13.0,19.0
201802181800,77.0,18.0,84.0,123.0
201802182100,51.0,22.0,19.0,53.0
201802190000,36.0,24.0,32.0,77.0
201802190300,50.0,23.0,22.0,55.0
201802190600,64.0,23.0,28.0,67.0
201802190900,45.0,51.0,25.0,38.0
201802191200,26.0,100.0,18.0,46.0
201802191500,27.0,67.0,25.0,66.0
201802191800,28.0,69.0,123.0,66.0
201802192100,29.0,57.0,14.0,92.0
201802200000,41.0,51.0,51.0,65.0
201802200300,32.0,36.0,37.0,79.0
201802200600,23.0,33.0,55.0,120.0
201802200900,14.0,35.0,39.0,111.0
201802201200,56.0,40.0,37.0,55.0
201802201500,22.0,33.0,27.0,14.0
201802201800,13.0,31.0,27.0,21.0
201802202100,31.0,29.0,18.0,30.0
201802210000,34.0,33.0,15.0,52.0
201802210300,37.0,37.0,24.0,51.0
201802210600,2.0,54.0,44.0,59.0
201802210900,33.0,61.0,52.0,43.0
201802211200,39.0,68.0,30.0,34.0
201802211500,42.0,82.0,13.0,66.0
201802211800,30.0,113.0,39.0,31.0
201802212100,50.0,95.0,25.0,84.0
201802220000,126.0,99.0,20.0,53.0
201802220300,22.0,89.0,28.0,63.0
201802220600,64.0,75.0,21.0,87.0
201802220900,84.0,76.0,12.0,111.0
201802221200,74.0,67.0,23.0,117.0
201802221500,123.0,67.0,23.0,131.0
201802221800,65.0,64.0,28.0,59.0
201802222100,66.0,56.0,37.0,162.0
201802230000,38.0,58.0,18.0,132.0
201802230300,60.0,60.0,49.0,140.0
201802230600,123.0,102.0,62.0,120.0
201802230900,94.0,78.0,77.0,126.0
201802231200,47.0,56.0,44.0,76.0
201802231500,44.0,35.0,42.0,105.0
201802231800,70.0,24.0,45.0,91.0
201802232100,95.0,25.0,23.0,206.0
201802240000,41.0,26.0,15.0,59.0
201802240300,95.0,38.0,51.0,2.0
201802240600,95.0,45.0,29.0,15.0
201802240900,89.0,36.0,40.0,28.0
201802241200,80.0,48.0,35.0,18.0
201802241500,71.0,37.0,38.0,22.0
201802241800,80.0,40.0,71.0,30.5
201802242100,134.0,48.0,93.0,39.0
201802250000,19.0,24.0,76.0,20.0
201802250300,22.0,25.0,90.0,44.0
201802250600,63.0,24.0,88.0,45.0
201802250900,112.0,30.0,90.0,39.0
201802251200,68.0,57.0,86.0,21.0
201802251500,127.0,66.0,90.0,10.0
201802251800,96.0,46.0,99.0,21.0
201802252100,165.0,42.0,98.0,21.5
201802260000,63.0,40.0,80.0,22.0
201802260300,36.0,40.0,74.0,18.0
201802260600,45.0,45.0,68.0,54.0
201802260900,21.0,51.0,68.0,28.0
201802261200,42.0,64.0,79.0,42.0
201802261500,31.0,64.0,79.0,48.0
201802261800,87.0,62.0,159.0,43.0
201802262100,64.0,55.0,112.0,26.0
201802270000,79.0,39.0,178.0,36.0
201802270300,54.0,38.0,69.0,65.0
201802270600,103.0,29.0,43.0,71.0
201802270900,102.0,25.0,20.0,242.0
201802271200,211.0,47.0,13.0,185.0
201802271500,132.0,56.0,9.0,181.0
201802271800,133.0,20.0,19.0,104.0
201802272100,100.0,12.0,27.0,56.0
201802280000,62.0,18.0,17.0,45.0
201802280300,67.0,121.0,19.0,19.0
201802280600,175.0,115.0,52.0,11.0
201802280900,78.0,78.0,57.0,28.0
201802281200,182.0,62.0,43.0,7.0
201802281500,132.0,35.0,55.0,15.0
201802281800,134.0,37.0,67.0,30.0
201802282100,170.0,42.0,125.0,30.0
201803010000,27.0,45.0,68.0,142.0
201803010300,86.0,15.0,66.0,56.0
201803010600,76.0,30.0,64.0,51.0
201803010900,75.0,40.0,59.0,104.0
201803011200,78.0,33.0,84.0,1.0
201803011500,76.0,23.0,63.0,13.0
201803011800,69.0,25.0,113.0,25.0
201803012100,127.0,44.0,410.0,22.0
201803020000,94.0,20.0,178.0,19.0
201803020300,61.0,17.0,112.0,44.0
201803020600,66.5,19.0,94.0,24.0
201803020900,72.0,11.0,266.0,28.0
201803021200,176.0,14.0,81.0,25.0
201803021500,73.0,31.0,33.0,31.0
201803021800,135.0,42.0,51.0,34.0
201803022100,58.0,51.0,33.0,105.0
201803030000,17.0,25.0,30.0,46.0
201803030300,96.0,33.0,39.0,39.0
201803030600,146.0,17.0,52.0,46.0
201803030900,102.0,36.0,63.0,37.0
201803031200,70.0,11.0,32.0,31.0
201803031500,58.0,14.0,21.0,30.0
201803031800,39.0,11.0,46.0,46.0
201803032100,44.0,19.0,40.0,54.0
201803040000,87.0,37.0,44.0,47.0
201803040300,33.0,33.0,56.0,49.0
201803040600,124.0,28.0,31.0,61.0
201803040900,56.0,33.0,33.0,69.0
201803041200,48.0,28.0,30.0,67.0
201803041500,68.0,19.0,59.0,49.0
201803041800,39.0,26.0,58.0,79.0
201803042100,4.0,37.0,51.0,32.0
201803050000,9.5,52.0,54.0,56.0
201803050300,15.0,65.0,41.0,34.0
201803050600,1.0,51.0,129.0,36.0
201803050900,5.0,76.0,47.0,52.0
201803051200,11.0,45.0,38.0,68.0
201803051500,13.0,44.0,56.0,63.0
201803051800,22.0,43.0,32.0,44.0
201803052100,29.5,21.0,26.0,41.0
201803060000,37.0,15.0,24.0,36.0
201803060300,24.0,59.0,20.0,32.0
201803060600,181.0,36.0,22.0,37.0
201803060900,90.0,34.0,73.0,78.0
201803061200,103.0,19.0,16.0,38.0
201803061500,86.0,15.0,26.0,40.0
201803061800,54.0,13.0,48.0,19.0
201803062100,33.0,14.0,84.0,80.0
201803070000,43.0,40.0,59.0,80.0
201803070300,63.0,46.0,52.0,84.0
201803070600,60.0,85.0,64.0,56.0
201803070900,105.0,49.0,99.0,42.0
201803071200,70.0,44.0,79.0,13.0
201803071500,68.0,38.0,82.0,14.0
201803071800,83.0,30.0,91.0,27.0
201803072100,95.0,24.0,108.0,15.0
201803080000,100.5,21.0,36.0,10.0
201803080300,106.0,23.0,45.0,28.0
201803080600,140.0,34.0,52.0,29.0
201803080900,127.0,36.0,104.0,75.0
201803081200,86.0,58.0,71.0,48.0
201803081500,85.0,35.0,69.0,50.0
201803081800,90.0,16.0,54.0,42.0
201803082100,138.0,14.0,41.0,22.0
201803090000,14.0,26.0,46.0,15.0
201803090300,49.0,54.0,38.0,15.0
201803090600,159.0,76.0,48.0,10.0
201803090900,97.0,75.0,82.0,36.0
201803091200,72.0,91.0,111.0,51.0
201803091500,121.0,109.0,117.0,17.0
201803091800,114.0,119.0,95.0,39.0
201803092100,123.0,112.0,84.0,33.0
201803100000,22.0,96.2,80.0,31.0
201803100300,41.0,80.4,91.0,25.0
201803100600,96.0,64.6,90.0,51.0
201803100900,104.0,48.8,112.0,99.0
201803101200,113.0,33.0,115.0,111.0
201803101500,113.0,30.0,101.0,70.0
201803101800,109.0,33.0,73.0,85.0
201803102100,74.0,36.0,76.0,100.0
201803110000,39.0,32.0,81.0,36.0
201803110300,151.0,32.0,86.0,111.0
201803110600,263.0,25.0,88.0,64.0
201803110900,99.0,18.0,115.0,17.0
201803111200,88.0,14.0,47.0,9.0
201803111500,82.0,18.0,194.0,29.0
201803111800,99.0,28.0,93.0,29.0
201803112100,96.0,27.0,60.0,54.0
201803120000,62.5,15.0,52.0,58.0
201803120300,29.0,15.0,62.0,65.0
201803120600,46.0,45.0,65.0,54.0
201803120900,93.0,41.0,118.0,60.0
201803121200,63.0,60.0,221.0,69.0
201803121500,54.0,75.0,170.0,66.0
201803121800,109.0,72.0,400.0,48.0
201803122100,127.0,52.0,39.0,30.0
201803130000,112.0,34.0,557.0,22.0
201803130300,97.0,34.0,78.0,17.0
201803130600,82.0,24.0,14.0,29.0
201803130900,80.0,28.0,16.0,34.0
201803131200,72.0,24.0,10.0,70.0
201803131500,6.0,26.0,10.0,21.0
201803131800,271.0,28.0,16.0,41.0
201803132100,357.0,24.0,43.0,16.0
201803140000,307.0,32.0,17.0,13.0
201803140300,197.0,34.0,15.0,18.0
201803140600,204.0,34.0,17.0,20.0
201803140900,313.0,62.0,32.0,114.0
201803141200,162.0,60.0,19.0,46.0
201803141500,87.0,49.0,24.0,62.0
201803141800,59.0,42.0,42.0,40.5
201803142100,44.0,27.0,73.0,19.0
201803150000,69.0,23.0,43.0,3.0
201803150300,34.0,17.0,46.0,28.0
201803150600,121.0,16.0,51.0,120.0
201803150900,42.0,23.0,63.0,104.0
201803151200,33.0,24.0,73.0,140.0
201803151500,15.0,20.0,60.0,66.0
201803151800,20.0,17.0,110.0,250.0
201803152100,23.0,13.0,112.0,65.0
201803160000,13.0,26.0,95.0,57.0
201803160300,28.0,26.0,82.0,84.0
201803160600,52.0,16.0,69.0,49.0
201803160900,33.0,28.0,97.0,42.0
201803161200,16.0,20.0,15.0,48.0
201803161500,72.0,11.0,34.0,67.0
201803161800,12.0,11.0,33.0,65.0
201803162100,58.0,12.0,17.0,62.0
201803170000,43.0,10.0,16.0,47.0
201803170300,35.0,8.0,10.0,11.0
201803170600,51.0,8.0,20.0,75.0
201803170900,75.0,10.0,26.0,31.0
201803171200,49.0,7.0,23.0,9.0
201803171500,88.0,7.0,23.0,22.0
201803171800,82.0,10.0,29.0,40.0
201803172100,40.0,12.0,25.0,48.0
201803180000,25.0,20.0,20.0,19.0
201803180300,65.0,28.0,24.0,24.0
201803180600,17.0,24.0,24.0,3.0
201803180900,75.0,31.0,34.0,14.0
201803181200,54.0,28.0,33.0,19.0
201803181500,61.0,30.0,28.0,21.0
201803181800,39.0,39.0,52.0,24.0
201803182100,131.0,55.0,54.0,10.0
201803190000,46.0,39.0,51.0,59.0
201803190300,78.0,33.0,43.0,36.0
201803190600,37.0,26.0,46.0,31.0
201803190900,25.0,26.0,71.0,62.0
201803191200,49.0,31.0,39.0,162.0
201803191500,61.0,23.0,38.0,91.0
201803191800,15.0,21.0,87.0,123.0
201803192100,1.0,14.0,109.0,106.0
201803200000,35.0,20.0,79.0,65.0
201803200300,57.0,25.0,69.0,49.0
201803200600,70.0,26.0,65.0,83.0
201803200900,68.0,30.0,114.0,70.0
201803201200,34.0,34.0,26.0,60.0
201803201500,88.0,27.0,19.0,23.0
201803201800,39.0,27.0,35.0,29.0
201803202100,18.0,23.0,60.0,39.0
201803210000,44.0,30.0,41.0,64.0
201803210300,49.0,34.0,45.0,63.0
201803210600,66.0,32.0,27.0,66.0
201803210900,51.0,34.0,49.0,34.0
201803211200,89.0,31.0,20.0,77.0
201803211500,64.0,19.0,51.0,28.0
201803211800,45.0,17.0,19.0,64.0
201803212100,26.0,14.0,42.0,38.0
201803220000,51.0,13.0,25.0,25.0
201803220300,40.0,13.0,13.0,14.0
201803220600,41.0,14.0,15.0,28.0
201803220900,42.0,22.0,36.0,81.0
201803221200,64.0,45.0,34.0,77.0
201803221500,43.5,132.0,42.0,59.0
201803221800,23.0,87.0,39.0,72.0
201803222100,30.0,69.0,43.0,64.0
201803230000,65.0,68.0,30.0,55.0
201803230300,64.0,68.0,31.0,52.0
201803230600,86.0,51.0,19.0,74.0
201803230900,146.0,55.0,59.0,67.0
201803231200,145.0,54.0,43.0,69.0
201803231500,61.0,58.0,30.0,88.0
201803231800,81.0,62.0,16.0,82.0
201803232100,119.0,67.0,58.0,86.0
201803240000,82.0,67.0,20.0,90.0
