TM,STN,WD,WS,PA,PS,TA,TD,HM,PV,WW,CA_TOT,CA_MID,CT,VS,TS,IR,IX,PM10
202207130500,146.0,9.0,2.2,999.1,1006.0,25.1,20.9,78.0,24.7,-,10.0,6.0,ScAs,1403.0,24.9,3.0,2.0,27.0
202207130600,146.0,14.0,1.4,999.8,1006.7,25.0,21.0,79.0,24.9,-,10.0,4.0,ScAs,1364.0,24.9,3.0,2.0,35.0
202207130700,146.0,11.0,1.8,999.8,1006.7,25.4,21.2,78.0,25.2,-,10.0,5.0,ScAs,1617.0,26.6,3.0,2.0,46.0
202207130800,146.0,14.0,1.0,1000.2,1007.0,26.3,21.5,75.0,25.6,-,10.0,7.0,ScAs,1907.0,27.9,3.0,2.0,46.0
202207130900,146.0,14.0,2.3,999.3,1006.1,26.2,21.6,76.0,25.8,-,10.0,7.0,ScAs,1495.0,28.1,3.0,2.0,20.0
202207131000,146.0,14.0,2.0,998.8,1005.6,26.8,21.9,75.0,26.3,-,10.0,7.0,ScAs,1468.0,28.9,3.0,2.0,22.0
202207131100,146.0,14.0,2.1,998.5,1005.3,26.6,22.2,77.0,26.8,01,10.0,7.0,ScAs,1932.0,28.7,4.0,1.0,52.0
202207131200,146.0,14.0,2.6,997.6,1004.4,26.5,23.3,83.0,28.6,01,10.0,7.0,StNs,1445.0,30.6,4.0,1.0,51.0
202207131300,146.0,14.0,2.6,996.9,1003.7,27.1,22.9,78.0,27.9,01,10.0,7.0,StNs,2000.0,30.4,4.0,1.0,18.0
202207131400,146.0,11.0,3.1,996.3,1003.1,24.7,23.4,93.0,28.8,01,10.0,7.0,StNs,268.0,27.2,4.0,1.0,30.0
202207131500,146.0,11.0,2.4,995.5,1002.3,25.2,23.8,92.0,29.5,01,10.0,7.0,ScAs,836.0,28.6,4.0,1.0,106.0
202207131600,146.0,14.0,2.5,994.9,1001.7,26.2,22.8,82.0,27.7,-,10.0,7.0,ScAs,1718.0,28.7,3.0,2.0,8.0
202207131700,146.0,16.0,3.2,994.1,1000.9,26.7,22.1,76.0,26.6,01,10.0,7.0,ScAs,2000.0,27.6,4.0,1.0,0.0
202207131800,146.0,16.0,2.6,993.7,1000.5,26.9,22.0,75.0,26.4,01,10.0,7.0,ScAs,2000.0,27.6,4.0,1.0,0.0
202207131900,146.0,16.0,3.2,993.8,1000.6,27.0,21.2,71.0,25.2,01,10.0,8.0,ScAs,2000.0,26.4,4.0,1.0,28.0
202207132000,146.0,16.0,2.3,994.2,1001.0,26.5,21.4,74.0,25.5,01,10.0,7.0,ScAs,2000.0,25.6,4.0,1.0,38.0
202207132100,146.0,16.0,2.3,994.4,1001.2,26.7,21.4,73.0,25.5,-,10.0,6.0,ScAs,2000.0,25.2,3.0,2.0,21.0
202207132200,146.0,16.0,2.5,994.3,1001.1,26.7,21.4,73.0,25.5,-,10.0,2.0,-,2000.0,25.1,3.0,,23.0
202207132300,146.0,18.0,2.3,994.3,1001.1,26.7,21.8,75.0,26.1,-,7.0,4.0,-,2000.0,25.0,3.0,,23.0
202207140000,146.0,16.0,2.1,993.9,1000.7,26.7,22.3,77.0,26.9,-,10.0,8.0,ScAs,2000.0,25.3,3.0,2.0,20.0
202207140100,146.0,18.0,1.5,993.5,1000.3,26.0,22.6,82.0,27.4,01,10.0,8.0,ScAs,1401.0,25.5,4.0,1.0,16.0
202207140200,146.0,16.0,1.5,992.9,999.7,25.3,23.7,91.0,29.3,01,10.0,8.0,StNs,1304.0,25.6,4.0,1.0,56.0
202207140300,146.0,23.0,1.0,993.1,999.9,25.1,24.2,95.0,30.2,1901,10.0,8.0,StNs,441.0,25.8,4.0,1.0,64.0
202207140400,146.0,25.0,1.7,992.8,999.6,25.4,24.7,96.0,31.1,1901,10.0,8.0,StNs,298.0,25.9,4.0,1.0,80.0
202207140500,146.0,27.0,2.3,993.2,1000.0,25.2,24.1,94.0,30.0,1901,10.0,6.0,ScAs,333.0,25.8,4.0,1.0,62.0
202207140600,146.0,25.0,1.6,993.7,1000.5,24.7,23.1,91.0,28.3,19,10.0,6.0,ScAs,457.0,25.6,3.0,1.0,28.0
202207140700,146.0,23.0,1.3,993.9,1000.7,24.7,23.1,91.0,28.3,19,8.0,7.0,ScAc,554.0,26.1,3.0,1.0,46.0
202207140800,146.0,23.0,1.7,994.2,1001.0,25.2,23.0,88.0,28.1,19,9.0,7.0,ScAc,755.0,26.9,3.0,1.0,13.0
202207140900,146.0,27.0,2.0,994.0,1000.8,25.0,23.0,89.0,28.1,1901,9.0,7.0,ScAc,778.0,27.3,1.0,1.0,14.0
202207141000,146.0,27.0,1.4,994.4,1001.2,25.4,23.2,88.0,28.4,19,9.0,7.0,ScAc,1047.0,28.7,3.0,2.0,12.0
202207141100,146.0,25.0,0.8,994.3,1001.1,26.6,23.2,82.0,28.4,-,9.0,7.0,ScAc,1863.0,31.4,3.0,2.0,0.0
202207141200,146.0,27.0,2.6,994.4,1001.2,26.5,22.9,81.0,27.9,-,9.0,9.0,Sc,1938.0,30.9,3.0,2.0,0.0
202207141300,146.0,27.0,2.9,994.5,1001.3,27.7,22.6,74.0,27.4,-,9.0,9.0,Sc,2000.0,36.9,3.0,2.0,1.0
202207141400,146.0,27.0,3.1,994.5,1001.3,27.2,22.8,77.0,27.7,-,9.0,9.0,Sc,2000.0,34.7,3.0,2.0,24.0
202207141500,146.0,27.0,2.8,994.9,1001.7,26.8,23.0,80.0,28.1,-,9.0,9.0,Sc,2000.0,33.2,3.0,2.0,72.0
202207141600,146.0,25.0,2.9,995.1,1001.9,26.3,22.7,81.0,27.6,-,9.0,9.0,Sc,2000.0,30.9,3.0,2.0,18.0
202207141700,146.0,25.0,2.0,994.9,1001.7,26.7,22.7,79.0,27.6,-,8.0,8.0,Sc,2000.0,30.6,3.0,2.0,16.0
202207141800,146.0,25.0,2.5,994.3,1001.1,26.3,22.1,78.0,26.6,-,6.0,6.0,Sc,2000.0,28.5,3.0,2.0,15.0
202207141900,146.0,25.0,1.7,994.4,1001.2,26.1,21.7,77.0,26.0,-,7.0,3.0,-,2000.0,27.6,3.0,,12.0
202207142000,146.0,23.0,2.2,994.5,1001.3,25.2,21.6,81.0,25.8,-,8.0,0.0,-,2000.0,25.6,3.0,,17.0
202207142100,146.0,25.0,1.7,995.0,1001.8,24.8,22.0,85.0,26.4,-,7.0,7.0,Sc,2000.0,25.4,3.0,2.0,26.0
202207142200,146.0,25.0,1.9,995.6,1002.4,24.4,21.7,85.0,26.0,-,8.0,8.0,-,2000.0,25.0,3.0,,22.0
202207142300,146.0,27.0,1.0,995.5,1002.3,24.1,21.6,86.0,25.8,-,7.0,7.0,-,1980.0,25.0,3.0,,7.0
202207150000,146.0,23.0,1.1,995.1,1001.9,23.9,21.4,86.0,25.5,-,8.0,8.0,Sc,1850.0,24.7,3.0,2.0,13.0
